Network,Number of agents,Simulation end,Simulation duration in seconds,Number of steps,is parallel,Simulator,message id,creation time,output time,sender,receiver,message,delay,infrastructure change,changed module
EventBasedTCP_LargeCosimaNetwork,10,500,476.16,466,{False},,,,,,,,,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_0,5,8,client7,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_0,6,9,client8,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_0,7,10,client9,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_0,7,11,client2,client0,The first letter is: A,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_1,12,15,client7,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_1,13,16,client3,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_1,15,18,client9,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_2,19,21,client7,client0,Next letter is: E,2,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_1,18,22,client2,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client5_2,21,24,client5,client0,Next letter is: E,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_2,23,26,client9,client0,Next letter is: E,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_2,24,27,client4,client0,Next letter is: E,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_3,25,28,client7,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_3,29,31,client3,client0,Next letter is: G,2,,
,,,,,,CommSim-0.CommSim,AgentMessage_client5_3,29,32,client5,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_3,31,34,client9,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_4,33,36,client7,client0,Next letter is: I,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_3,33,37,client1,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client5_4,37,40,client5,client0,Next letter is: I,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_3,38,42,client2,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_4,39,43,client6,client0,Next letter is: I,4,,
