time,cpu,ram
0.0,28.1,43.7
0.27,15.6,43.7
0.54,13.0,43.7
0.81,14.7,43.7
1.09,16.2,43.7
1.36,20.6,43.7
1.64,27.2,43.7
1.91,17.5,43.7
2.17,16.9,43.6
2.42,13.5,43.6
2.68,13.0,43.6
2.94,12.1,43.6
3.2,14.8,43.6
3.45,20.0,43.6
3.73,12.8,43.6
4.01,13.5,43.6
4.27,14.0,43.6
4.55,18.3,43.6
4.82,13.8,43.6
5.08,12.5,43.5
5.33,12.5,43.5
5.6,14.4,43.5
5.87,13.0,43.5
6.14,13.0,43.5
6.41,32.4,43.7
6.68,37.6,44.0
6.92,28.3,44.3
7.19,33.7,44.5
7.45,21.0,44.5
7.73,12.5,44.5
7.97,13.3,44.4
8.23,16.3,44.4
8.5,12.9,44.4
8.78,17.2,44.4
9.06,13.0,44.3
9.34,18.9,44.3
9.61,26.2,44.3
9.9,13.5,44.3
10.16,14.0,44.3
10.42,16.1,44.3
10.68,17.0,44.3
10.97,14.6,44.3
11.22,23.3,44.4
11.5,12.5,44.4
11.77,13.5,44.4
12.04,12.8,44.4
12.31,25.3,44.3
12.54,30.2,44.3
12.77,13.8,44.3
13.04,17.0,44.3
13.32,15.0,44.3
13.6,16.0,44.3
13.88,12.8,44.3
14.15,14.7,44.2
14.41,16.1,44.2
14.67,13.5,44.2
14.94,19.0,44.2
15.22,24.0,44.2
15.5,13.0,44.2
15.79,14.0,44.2
16.07,12.5,44.2
16.33,15.7,44.2
16.58,12.5,44.2
16.82,21.9,44.2
17.11,24.5,44.2
17.39,14.4,44.2
17.68,16.5,44.2
17.97,13.0,44.2
18.24,16.0,44.3
18.54,13.5,44.3
18.8,12.1,44.3
19.06,13.5,44.3
19.33,14.6,44.3
19.59,15.1,44.3
19.84,15.6,44.3
20.12,15.6,44.3
20.39,15.8,44.3
20.67,20.0,44.3
20.96,25.3,44.2
21.23,14.9,44.3
21.51,35.2,44.5
21.82,18.6,44.5
22.1,13.4,44.5
22.36,15.0,44.5
22.62,44.2,43.8
22.89,20.0,43.8
23.16,15.8,43.8
23.42,31.9,43.8
23.71,13.5,43.8
23.97,21.6,43.6
24.25,19.2,43.7
24.53,16.7,43.7
24.79,18.8,43.5
25.08,20.4,43.5
25.35,14.8,43.5
25.62,22.9,43.5
25.89,20.0,43.5
26.16,17.7,43.6
26.42,15.5,43.6
26.69,37.0,43.6
26.95,37.2,43.8
27.2,28.7,44.1
27.49,27.0,44.3
27.74,28.6,44.4
27.99,16.3,44.4
28.28,12.9,44.4
28.55,14.3,44.4
28.82,13.5,44.4
29.06,12.5,44.4
29.31,12.5,44.4
29.58,12.1,44.3
29.83,13.9,44.3
30.12,16.0,44.3
30.38,15.0,44.3
30.67,14.6,44.3
30.94,13.2,44.3
31.2,13.5,44.3
31.48,19.4,44.3
31.77,17.0,44.3
32.04,14.9,44.3
32.29,27.8,44.3
32.59,25.0,44.4
32.85,13.3,44.4
