0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
370.0,200.0,199.0,199.0,200.0,400.0,399.0,398.0,400.0,200.0,202.0,200.0,401.0,400.0,199.0,20.1908992919225,13.172433035591508,10.347319499375697,15.582159651784325,21.76244380509675
198.0,200.0,200.0,202.0,200.0,399.0,400.0,399.0,400.0,200.0,201.0,201.0,398.0,400.0,191.70639581042272,13.056828649049718,11.445528152326162,16.668128918615622,20.890729827217772,33.94723195915777
200.0,201.0,198.0,199.0,201.0,400.0,399.0,400.0,401.0,199.0,201.0,200.0,401.0,400.0,17.21913060053403,12.985582604614294,11.404102074973974,16.60139305013228,20.84487158637979,34.19991224731162
200.0,200.0,199.0,200.0,202.0,399.0,400.0,400.0,400.0,201.0,199.0,200.0,401.0,399.0,16.14527069693373,11.182461302120233,10.389767649746965,16.57751551253544,20.881681411537254,32.963201856017136
