0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
360.0,399.0,399.0,400.0,401.0,202.0,200.0,200.0,400.0,401.0,199.0,200.0,199.0,401.0,21.70412050797757,20.1908992919225,13.172433035591508,11.347319499375697,16.582159651784323,18.76244380509675
201.0,400.0,400.0,400.0,399.0,200.0,200.0,200.0,400.0,400.0,198.0,200.0,199.0,399.0,18.279429562648392,14.056828649049718,10.445528152326162,15.66812891861562,20.890729827217772,34.94723195915777
201.0,399.0,400.0,400.0,399.0,199.0,198.0,199.0,402.0,401.0,200.0,199.0,200.0,335.24951433492083,18.21912750756024,9.985582604614294,10.404102074973974,15.60139305013228,21.84487158637979,33.19991224731162
201.0,400.0,400.0,402.0,400.0,198.0,199.0,201.0,399.0,400.0,199.0,200.0,200.0,23.4704345186404,18.14527069693373,13.182461302120233,11.389767649746965,15.57751551253544,20.881681411537254,32.963201856017136
