time,cpu,ram
0.0,12.5,42.0
0.25,13.8,42.0
0.51,12.6,42.0
0.75,18.3,42.0
1.04,16.7,42.0
1.32,14.0,42.0
1.58,29.0,42.0
1.87,15.2,42.0
2.13,28.1,42.0
2.4,13.0,42.0
2.68,17.8,42.0
2.96,14.7,42.0
3.23,14.4,42.0
3.51,14.1,42.0
3.76,12.5,42.0
3.98,17.5,42.0
4.25,12.5,42.0
4.52,18.3,42.0
4.76,12.5,42.0
5.02,15.6,42.0
5.29,14.9,42.0
5.55,13.4,42.0
5.8,14.9,42.0
6.05,13.1,42.0
6.29,14.8,42.0
6.55,12.4,42.0
6.76,17.8,42.0
7.05,14.9,42.0
7.32,14.9,42.0
7.61,16.7,42.0
7.88,18.7,42.0
8.17,13.7,42.0
8.44,14.3,42.0
8.7,12.4,42.0
8.95,17.4,42.0
9.22,12.9,42.0
9.49,18.8,42.0
9.77,31.2,42.0
10.04,17.7,42.0
10.32,41.2,42.0
10.59,14.8,42.0
10.87,15.5,42.0
11.14,15.6,42.0
11.43,19.2,42.0
11.71,15.2,42.0
12.0,16.1,42.0
12.25,14.4,42.0
12.5,12.0,42.0
12.78,17.6,42.0
13.05,16.2,42.0
13.34,17.8,42.0
13.61,14.6,42.0
13.89,16.8,42.0
14.17,23.8,42.0
14.45,13.0,42.0
14.71,12.9,42.0
14.98,13.5,42.0
15.24,15.9,42.0
15.53,14.0,42.0
15.8,15.9,42.0
16.05,13.4,42.0
16.32,14.6,42.0
16.56,12.5,42.0
16.82,16.5,42.0
17.07,13.7,42.0
17.34,19.8,42.0
17.6,16.8,42.0
17.87,23.2,42.0
18.14,17.3,42.0
18.43,26.7,42.0
18.71,15.7,42.0
18.98,19.4,42.0
19.25,13.9,41.9
19.53,16.7,41.9
19.8,16.9,41.9
20.06,13.2,41.9
20.32,20.5,41.9
20.58,13.9,41.9
20.87,15.0,41.9
21.15,16.5,41.9
21.38,17.5,41.9
21.65,17.6,41.9
21.93,17.7,41.9
22.2,13.1,41.9
22.44,16.3,41.9
22.71,15.1,41.9
22.99,16.8,41.9
23.26,17.8,41.9
23.58,16.5,41.9
23.86,13.2,41.9
24.12,17.8,41.9
24.41,14.9,41.9
24.68,18.0,41.9
24.93,14.1,41.9
25.19,17.0,41.9
25.47,13.0,41.9
25.73,25.0,41.9
26.03,23.2,41.9
26.29,27.3,42.0
26.56,24.8,42.0
26.84,14.9,42.0
27.11,18.2,42.0
27.36,16.3,41.9
27.62,12.4,41.9
27.88,15.1,41.9
28.17,12.0,41.9
28.43,14.3,41.9
28.69,13.0,41.9
28.94,11.9,41.9
29.17,12.9,41.9
29.44,13.5,41.9
29.71,12.9,41.9
29.97,13.1,41.9
30.21,16.2,41.9
30.47,14.1,41.9
30.73,12.5,41.9
30.95,12.5,41.9
31.2,13.0,41.9
31.47,14.6,41.9
31.73,12.5,41.9
31.99,15.0,41.9
32.27,17.5,41.9
32.53,14.4,41.9
32.8,15.6,41.9
33.06,13.5,41.9
33.33,16.0,41.9
33.59,12.5,41.9
33.84,14.9,41.9
34.09,25.8,41.9
34.35,17.0,42.0
34.63,20.4,42.0
34.89,18.9,42.0
35.18,16.8,42.0
35.45,18.9,41.9
35.72,16.5,41.9
36.01,12.1,41.9
36.27,16.7,41.9
36.56,12.5,41.9
36.81,15.1,41.9
37.07,12.5,41.9
37.33,13.0,41.9
37.6,14.0,41.9
37.88,12.4,41.9
38.15,13.6,41.9
38.4,13.1,41.9
38.68,12.9,41.9
38.95,17.0,41.9
39.22,13.0,41.9
39.5,15.2,41.9
39.77,19.8,41.9
40.06,15.8,41.9
40.32,22.0,41.9
40.6,20.4,41.9
40.88,38.7,41.9
41.15,30.2,41.9
41.42,16.7,41.9
41.69,13.1,41.9
41.96,13.5,41.9
42.23,23.2,41.9
42.48,16.0,41.9
42.76,16.2,42.0
43.05,12.9,42.0
43.31,13.0,42.0
43.57,14.1,42.0
43.83,17.4,42.0
44.04,14.9,42.0
44.32,14.1,42.0
44.58,13.5,41.9
44.83,17.8,41.9
45.09,12.5,41.9
45.34,21.3,41.9
45.63,13.6,41.9
45.88,14.9,41.9
46.15,13.1,41.9
46.42,17.0,41.9
46.69,15.7,41.9
46.96,14.6,41.9
47.23,13.5,41.9
47.49,14.0,41.9
47.76,12.6,41.9
48.01,14.6,41.9
48.28,13.0,41.9
48.54,14.8,41.9
48.85,26.0,41.9
49.11,26.0,41.9
49.39,13.0,41.9
49.66,20.0,42.0
49.93,13.0,42.0
50.2,21.0,42.0
50.48,15.0,42.0
50.76,16.0,42.0
51.03,12.1,42.0
51.3,12.1,42.0
51.56,13.1,42.0
51.85,12.0,42.0
52.12,13.5,42.0
52.38,12.9,42.0
52.63,16.1,42.0
52.9,12.6,42.0
53.17,13.5,42.0
53.42,12.9,42.0
53.68,18.4,42.0
53.95,12.5,42.0
54.21,12.0,42.0
54.48,13.2,42.0
54.76,15.5,42.0
55.03,12.5,42.0
55.29,13.0,42.0
55.57,14.5,42.0
55.83,12.9,42.0
56.1,12.9,42.0
56.37,13.5,42.0
56.61,13.9,42.0
56.91,12.1,42.0
57.18,13.0,42.0
57.43,12.9,42.0
57.7,16.0,42.0
57.98,13.0,42.0
58.26,20.5,42.0
58.48,18.7,42.0
58.74,19.6,42.0
58.99,14.0,42.0
59.25,12.9,42.0
59.51,14.1,42.0
59.79,13.9,42.0
60.06,12.5,42.0
60.33,13.1,42.0
60.57,12.9,42.0
60.85,13.9,42.0
61.12,12.9,42.0
61.38,12.5,42.0
61.6,12.9,42.0
61.89,12.6,42.0
62.15,12.9,42.0
62.39,13.0,42.0
62.66,13.5,42.0
62.92,12.5,42.0
63.19,13.1,42.0
63.41,13.5,42.0
63.66,14.0,42.0
63.95,13.4,42.0
64.21,11.9,42.0
64.43,12.5,42.0
64.67,13.6,42.0
64.93,12.9,42.0
65.19,12.1,42.0
65.45,14.9,42.0
65.7,14.9,42.0
65.99,12.5,42.0
66.26,12.4,42.0
66.52,12.1,42.0
66.77,18.3,42.0
67.04,12.9,42.0
67.31,14.1,42.0
67.58,12.5,42.0
67.85,14.0,42.0
68.11,13.0,42.0
68.38,12.5,42.0
68.63,13.4,42.0
68.9,13.4,42.0
69.18,12.5,42.0
69.44,12.0,42.0
69.71,14.0,41.9
69.98,13.7,42.0
70.25,11.9,42.0
70.48,12.9,42.0
70.76,14.4,41.9
71.04,14.1,42.0
71.31,13.5,42.0
71.55,12.0,42.0
71.84,14.7,41.9
72.1,12.5,41.9
72.34,12.4,41.9
72.61,13.0,42.0
72.87,17.3,42.0
73.14,12.1,42.0
73.4,12.5,42.0
73.66,12.9,42.0
73.93,12.9,42.0
74.2,12.9,42.0
74.43,17.2,42.0
74.69,18.0,42.0
74.97,19.4,42.0
75.23,12.6,42.0
75.46,12.9,42.0
75.71,12.5,42.0
75.97,12.5,42.0
76.24,11.9,42.0
76.48,12.5,42.0
76.73,12.5,42.0
77.01,12.5,42.0
77.26,13.1,42.0
77.49,12.5,42.0
77.75,14.3,42.0
78.04,12.1,42.0
78.3,13.4,42.0
78.57,13.0,42.0
78.84,15.1,42.0
79.13,12.9,42.0
79.39,13.1,42.0
79.64,13.9,42.0
79.9,15.0,42.0
80.17,13.1,42.0
80.39,13.5,42.0
80.65,14.3,42.0
80.92,17.2,42.0
81.18,12.5,42.0
81.42,13.1,42.0
81.67,13.7,42.0
81.94,16.5,42.0
82.22,12.5,42.0
82.46,12.5,42.0
82.72,14.8,42.0
82.97,16.1,42.0
83.24,14.3,42.0
83.52,13.5,42.0
83.74,12.4,42.0
84.01,13.0,42.0
84.29,13.3,42.0
84.56,13.4,42.0
84.83,14.7,42.0
85.12,12.5,42.0
85.37,13.0,41.9
85.62,12.4,41.9
85.89,15.5,41.9
86.16,13.4,41.9
86.44,14.1,41.9
86.68,13.0,41.9
86.93,16.5,41.9
87.19,12.9,41.9
87.45,13.1,41.9
87.7,12.1,42.0
87.97,23.5,42.0
88.26,12.9,42.0
88.52,12.9,42.0
88.78,12.1,42.0
89.05,13.5,42.0
89.33,13.0,42.0
89.59,12.1,42.0
89.86,14.7,42.0
90.16,12.9,42.0
90.43,13.0,42.0
90.69,15.1,42.0
90.95,20.6,42.0
91.23,13.9,42.0
91.5,25.7,42.0
91.79,12.5,42.0
92.05,15.7,42.0
92.31,12.9,42.0
92.57,12.5,42.0
92.8,12.5,42.0
93.06,14.4,42.0
93.34,12.5,42.0
93.61,12.4,42.0
93.88,12.0,42.0
94.15,12.9,42.0
94.41,14.3,42.0
94.67,12.5,42.0
94.94,14.4,42.0
95.21,13.0,42.0
95.47,13.5,42.0
95.71,12.9,42.0
95.97,15.1,42.0
96.23,13.4,42.0
96.49,12.9,42.0
96.76,12.5,42.0
97.03,15.4,42.0
97.31,12.9,42.0
97.55,13.3,42.0
97.82,12.0,42.0
98.09,14.8,42.0
98.35,13.1,42.0
98.57,13.4,42.0
98.84,17.3,42.0
99.11,20.2,42.0
99.39,15.6,42.0
99.65,25.7,42.0
99.93,13.0,42.0
100.19,12.0,42.1
100.45,14.7,42.1
100.71,12.9,42.1
100.97,13.9,42.1
101.28,12.0,42.1
101.53,12.9,42.0
101.79,12.5,42.0
102.06,17.1,42.0
102.34,12.0,42.0
102.6,12.5,42.0
102.87,12.9,42.0
103.12,14.1,42.0
103.39,13.0,42.0
103.66,13.7,42.0
103.92,12.4,42.0
104.19,14.7,42.0
104.46,12.8,42.0
104.75,14.1,42.0
104.98,12.5,42.0
105.27,12.5,42.0
105.52,12.0,42.0
105.8,12.4,42.0
106.07,14.9,42.0
106.35,12.5,42.0
106.62,12.5,42.0
106.9,13.0,42.0
107.16,19.3,42.0
107.42,14.8,42.0
107.68,13.9,42.0
107.95,13.9,42.0
108.23,13.0,42.1
108.51,13.3,42.1
108.78,13.1,42.1
108.99,14.3,42.1
109.26,13.5,42.1
109.55,12.5,42.0
109.81,12.9,42.0
110.06,13.5,42.0
110.35,13.0,42.0
110.62,12.5,42.0
110.89,15.3,42.0
111.15,16.1,42.0
111.41,13.0,42.0
111.68,12.5,42.0
111.95,12.9,42.0
112.24,14.6,42.0
112.49,12.5,42.0
112.75,12.0,42.0
113.0,12.9,42.0
113.27,13.6,42.0
113.52,13.8,42.0
113.78,12.9,42.0
113.99,13.4,42.0
114.27,13.0,42.0
114.54,13.5,42.0
114.79,13.5,42.0
115.03,13.0,42.0
115.29,12.9,42.0
115.56,13.0,42.0
115.82,12.0,42.0
116.09,13.0,42.0
116.37,13.9,42.0
116.66,13.0,42.0
116.94,13.4,42.0
117.21,14.0,42.0
117.48,13.9,42.0
117.75,12.5,42.0
118.01,12.5,42.0
118.28,13.1,42.0
118.55,13.4,42.0
118.82,12.4,42.0
119.08,12.9,42.0
119.35,12.4,42.0
119.61,12.5,42.0
119.88,12.9,42.0
120.12,13.4,42.0
120.41,13.4,42.0
120.68,13.7,42.0
120.96,12.5,42.0
121.23,16.0,42.0
121.5,12.5,42.0
121.75,12.5,42.0
122.0,13.7,42.0
122.28,16.7,42.0
122.53,13.4,42.0
