time,cpu,ram
0.0,16.9,41.9
0.23,18.6,41.9
0.48,12.5,41.9
0.73,12.9,41.9
0.97,14.0,41.9
1.24,14.0,41.8
1.5,14.1,41.8
1.75,13.1,41.8
2.0,12.9,41.8
2.28,13.5,41.7
2.55,12.9,41.7
2.81,12.9,41.7
3.02,24.7,41.7
3.28,29.4,41.7
3.55,13.2,41.7
3.81,12.1,41.7
4.08,13.4,41.7
4.34,12.4,41.7
4.58,12.4,41.7
4.85,15.5,41.8
5.11,14.8,41.7
5.41,13.0,41.7
5.67,12.0,41.7
5.9,12.9,41.7
6.13,12.9,41.7
6.42,12.0,41.7
6.69,12.5,41.7
6.94,12.9,41.7
7.19,11.9,41.7
7.44,12.1,41.7
7.7,12.0,41.7
7.96,13.3,41.7
8.18,13.0,41.7
8.45,14.3,41.7
8.7,13.5,41.7
8.93,13.4,41.7
9.18,13.4,41.7
9.46,12.5,41.7
9.68,13.1,41.7
9.91,12.5,41.7
10.19,13.3,41.7
10.46,14.6,41.7
10.71,13.0,41.7
10.97,14.0,41.7
11.23,14.4,41.7
11.48,13.9,41.7
11.75,18.3,41.7
11.98,11.5,41.7
12.21,16.3,41.7
12.49,12.5,41.7
12.75,12.5,41.7
13.01,12.9,41.7
13.28,14.4,41.7
13.54,12.5,41.7
13.78,12.5,41.7
14.04,12.0,41.7
14.3,13.5,41.7
14.57,12.5,41.7
14.84,12.9,41.7
15.1,13.0,41.7
15.36,13.0,41.7
15.62,12.0,41.7
15.88,13.1,41.7
16.13,25.5,41.7
16.43,12.5,41.7
16.7,13.0,41.7
16.96,12.9,41.7
17.22,12.5,41.7
17.49,12.5,41.7
17.75,11.5,41.7
18.0,12.0,41.7
18.26,13.8,41.7
18.55,12.9,41.7
18.82,13.5,41.7
19.08,13.0,41.7
19.33,16.1,41.7
19.59,13.5,41.7
19.84,13.6,41.7
20.09,13.4,41.7
20.35,13.5,41.7
20.62,13.5,41.7
20.84,12.9,41.7
21.11,14.5,41.7
21.35,14.1,41.7
21.58,12.5,41.7
21.82,13.0,41.7
22.08,12.8,41.7
22.33,18.6,41.7
22.61,12.9,41.7
22.88,12.0,41.7
23.1,12.6,41.7
23.35,14.0,41.7
23.63,12.9,41.7
23.87,12.0,41.7
24.11,12.5,41.7
24.35,13.0,41.7
24.61,13.4,41.7
24.88,13.1,41.7
25.13,13.7,41.6
25.39,13.1,41.6
25.64,12.9,41.6
25.86,13.1,41.6
26.09,15.1,41.6
26.32,12.5,41.6
26.61,12.9,41.6
26.88,14.3,41.6
27.14,12.9,41.6
27.38,21.3,41.6
27.66,17.7,41.6
27.93,16.3,41.6
28.21,14.0,41.6
28.47,13.0,41.6
28.74,12.9,41.6
29.0,13.0,41.6
29.26,13.1,41.6
29.51,12.9,41.6
29.79,12.0,41.6
30.04,12.9,41.6
30.32,12.0,41.6
30.58,12.5,41.6
30.84,13.1,41.6
31.08,11.9,41.6
31.32,13.0,41.6
31.59,13.4,41.6
31.87,12.9,41.6
32.1,12.5,41.6
32.37,13.6,41.6
32.66,12.4,41.6
32.94,12.9,41.6
33.2,17.6,41.6
33.48,13.6,41.7
33.76,14.4,41.7
34.04,18.2,41.8
34.33,25.9,41.9
34.64,28.6,41.9
34.93,57.0,41.9
35.19,12.5,41.9
35.42,13.5,41.9
35.7,16.5,41.9
35.95,13.1,41.9
36.2,12.8,41.9
36.47,16.7,41.7
36.73,12.9,41.7
37.0,12.5,41.7
37.27,12.5,41.7
37.53,14.6,41.7
37.79,12.5,41.7
38.06,13.0,41.7
38.29,12.5,41.7
38.55,15.0,41.7
38.82,12.1,41.7
39.09,12.5,41.7
39.36,12.0,41.7
39.63,12.5,41.7
39.89,13.0,41.7
40.15,12.5,41.7
40.39,13.0,41.7
40.66,12.6,41.7
40.93,13.0,41.7
41.2,12.5,41.7
41.45,12.1,41.7
41.73,13.8,41.7
41.99,12.5,41.7
42.25,12.9,41.7
42.48,13.3,41.7
42.76,12.5,41.7
43.01,13.5,41.7
43.26,13.2,41.7
43.54,16.8,41.7
43.82,22.1,41.7
