Network,Number of agents,Simulation end,Simulation duration in seconds,Number of steps,is parallel,Simulator,message id,creation time,output time,sender,receiver,message,delay,infrastructure change,changed module
EventBasedTCP_LargeCosimaNetwork,5,500,359.58,352,{False},,,,,,,,,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_0,5,7,client3,client0,The first letter is: A,2,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_0,5,8,client1,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_0,6,9,client4,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_0,6,10,client2,client0,The first letter is: A,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_1,11,14,client3,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_1,13,16,client1,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_1,14,17,client4,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_1,17,21,client2,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_2,21,24,client1,client0,Next letter is: E,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_2,23,27,client4,client0,Next letter is: E,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_2,27,31,client2,client0,Next letter is: E,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_3,29,32,client1,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_4,31,34,client3,client0,Next letter is: I,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_3,32,35,client4,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_4,37,40,client1,client0,Next letter is: I,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_5,38,41,client3,client0,Next letter is: K,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_4,40,43,client4,client0,Next letter is: I,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_5,45,48,client1,client0,Next letter is: K,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_5,48,51,client4,client0,Next letter is: K,3,,
