time,cpu,ram
0.0,65.2,43.3
0.23,13.1,43.3
0.5,13.0,43.3
0.79,20.6,43.3
1.07,14.5,43.3
1.36,15.6,43.3
1.62,13.5,43.3
1.89,29.5,43.3
2.14,17.0,43.3
2.43,16.3,43.4
2.68,13.9,43.4
2.96,14.4,43.4
3.24,15.9,43.2
3.5,17.2,43.2
3.76,14.1,43.2
4.04,26.0,43.2
4.32,16.5,43.1
4.61,14.4,43.1
4.87,24.3,43.1
5.16,27.9,43.1
5.39,17.5,43.1
5.66,19.4,43.1
5.93,13.5,43.1
6.17,12.5,43.1
6.43,13.5,43.1
6.7,12.1,43.1
6.94,25.2,43.1
7.22,23.9,43.1
7.45,17.4,43.1
7.69,18.0,43.1
7.98,22.6,43.1
8.24,17.8,43.1
8.53,17.8,43.1
8.79,15.8,43.1
9.06,17.6,43.1
9.32,24.7,43.1
9.6,20.0,43.1
9.87,25.0,43.1
10.13,12.1,43.1
10.39,16.1,43.1
10.63,14.4,43.1
10.9,14.6,43.1
11.16,35.5,43.4
11.48,27.1,43.8
11.72,23.3,44.1
12.01,22.0,44.1
12.23,16.7,44.1
12.5,16.7,44.1
12.81,29.9,44.0
13.08,18.1,44.0
13.36,18.9,44.0
13.62,13.4,44.0
13.88,12.6,44.0
14.15,25.7,44.0
14.45,22.1,44.0
14.7,16.0,44.0
14.99,16.8,44.0
15.28,12.2,43.9
15.53,12.5,43.9
15.79,12.5,43.9
16.06,27.1,43.7
16.35,20.2,43.7
16.58,15.8,43.7
16.85,13.4,43.7
17.12,14.9,43.7
17.39,15.8,43.7
17.65,24.0,43.7
17.92,24.2,43.1
18.17,18.4,43.1
18.45,13.4,43.1
18.72,17.4,43.1
19.0,16.5,43.1
19.28,14.8,43.1
19.54,16.0,43.1
19.82,13.5,43.1
20.08,20.0,43.1
20.37,28.4,43.1
20.68,25.0,43.1
20.94,31.4,43.1
21.21,31.6,43.2
21.47,16.5,43.2
21.75,16.9,43.2
22.01,15.9,43.3
22.27,12.6,43.3
22.48,17.9,43.3
22.76,29.5,43.3
23.03,28.8,43.3
23.32,34.4,43.3
23.58,18.6,43.3
23.85,25.0,43.3
24.12,34.1,43.2
24.38,19.6,43.2
24.66,24.7,43.2
24.92,13.5,43.2
25.18,22.8,43.0
25.46,18.7,43.0
25.72,14.4,43.0
26.0,18.5,43.0
26.26,13.6,43.1
26.52,22.2,43.1
26.79,24.2,43.1
27.07,19.1,43.1
27.29,18.6,43.1
27.57,20.4,43.1
27.83,25.3,43.1
28.1,23.6,43.1
28.35,22.5,43.1
28.59,17.2,43.0
28.88,27.8,43.1
29.14,30.0,43.1
29.37,30.3,43.1
29.66,18.1,43.1
29.95,21.7,43.1
30.22,14.6,43.1
30.48,26.6,43.1
30.73,24.5,43.1
31.0,36.1,43.3
31.27,38.6,43.5
31.56,26.4,44.1
31.82,26.5,44.1
32.06,24.1,44.1
32.37,16.7,44.1
32.64,27.9,44.1
