Network,Number of agents,Simulation end,Simulation duration in seconds,Number of steps,is parallel,Simulator,message id,creation time,output time,sender,receiver,message,delay,infrastructure change,changed module
EventBasedTCP_LargeCosimaNetwork,20,500,503.84,492,{False},,,,,,,,,,
,,,,,,CommSim-0.CommSim,AgentMessage_client12_0,6,9,client12,client0,The first letter is: A,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_0,5,10,client3,client0,The first letter is: A,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_0,6,11,client6,client0,The first letter is: A,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client10_0,8,12,client10,client0,The first letter is: A,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_0,8,13,client2,client0,The first letter is: A,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client15_0,9,14,client15,client0,The first letter is: A,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client19_0,10,15,client19,client0,The first letter is: A,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client18_0,10,16,client18,client0,The first letter is: A,6,,
,,,,,,CommSim-0.CommSim,AgentMessage_client16_0,11,17,client16,client0,The first letter is: A,6,,
,,,,,,CommSim-0.CommSim,AgentMessage_client12_1,15,18,client12,client0,Next letter is: C,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client11_1,15,19,client11,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_1,16,20,client3,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_1,17,21,client6,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_1,18,22,client8,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_1,19,23,client4,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client13_1,20,24,client13,client0,Next letter is: C,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client12_2,22,25,client12,client0,Next letter is: E,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client19_1,21,26,client19,client0,Next letter is: C,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_1,21,27,client2,client0,Next letter is: C,6,,
,,,,,,CommSim-0.CommSim,AgentMessage_client17_1,23,28,client17,client0,Next letter is: C,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_2,25,29,client3,client0,Next letter is: E,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client16_1,24,30,client16,client0,Next letter is: C,6,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_2,27,31,client8,client0,Next letter is: E,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client12_3,29,32,client12,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client11_3,32,35,client11,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client14_2,31,36,client14,client0,Next letter is: E,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client18_2,33,37,client18,client0,Next letter is: E,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_3,34,38,client3,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_3,36,39,client6,client0,Next letter is: G,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_3,36,40,client8,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_3,37,41,client9,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_3,38,42,client4,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_3,39,43,client1,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client15_3,41,45,client15,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client19_3,42,46,client19,client0,Next letter is: G,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_4,43,47,client7,client0,Next letter is: I,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_4,45,49,client6,client0,Next letter is: I,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_4,46,50,client8,client0,Next letter is: I,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client11_5,48,51,client11,client0,Next letter is: K,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client17_3,47,52,client17,client0,Next letter is: G,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_4,48,53,client4,client0,Next letter is: I,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_4,49,54,client1,client0,Next letter is: I,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client16_3,50,55,client16,client0,Next letter is: G,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_5,52,56,client7,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client10_5,53,57,client10,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client14_4,53,58,client14,client0,Next letter is: I,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_5,55,59,client6,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_5,56,60,client9,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_5,56,61,client8,client0,Next letter is: K,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_5,60,64,client4,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_4,59,65,client2,client0,Next letter is: I,6,,
,,,,,,CommSim-0.CommSim,AgentMessage_client10_6,62,66,client10,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client16_4,62,67,client16,client0,Next letter is: I,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client12_8,65,68,client12,client0,Next letter is: Q,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client9_6,65,69,client9,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client5_6,66,70,client5,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_6,67,71,client8,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client7_7,69,72,client7,client0,Next letter is: O,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client18_5,69,73,client18,client0,Next letter is: K,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_7,70,74,client3,client0,Next letter is: O,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client1_6,71,75,client1,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client10_7,72,76,client10,client0,Next letter is: O,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client19_6,73,77,client19,client0,Next letter is: M,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client11_8,74,78,client11,client0,Next letter is: Q,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_7,75,79,client6,client0,Next letter is: O,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client5_7,76,80,client5,client0,Next letter is: O,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client8_7,77,81,client8,client0,Next letter is: O,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_8,79,83,client3,client0,Next letter is: Q,4,,
,,,,,,CommSim-0.CommSim,AgentMessage_client18_6,79,84,client18,client0,Next letter is: M,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_7,80,85,client4,client0,Next letter is: O,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client11_9,83,86,client11,client0,Next letter is: S,3,,
,,,,,,CommSim-0.CommSim,AgentMessage_client17_6,82,87,client17,client0,Next letter is: M,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client19_7,83,88,client19,client0,Next letter is: O,5,,
,,,,,,CommSim-0.CommSim,AgentMessage_client6_8,85,89,client6,client0,Next letter is: Q,4,,
