time,cpu,ram
0.0,15.2,41.5
0.26,27.6,41.7
0.53,49.4,41.7
0.8,22.8,41.7
1.07,13.5,41.7
1.33,12.5,41.7
1.59,12.5,41.7
1.83,22.7,41.9
2.08,14.7,41.9
2.36,15.7,41.9
2.63,12.2,41.8
2.85,15.6,41.8
3.09,18.8,41.8
3.36,13.5,41.8
3.59,25.0,41.7
3.83,17.9,41.7
4.1,12.5,41.7
4.37,12.9,41.7
4.62,14.4,41.7
4.88,16.0,41.8
5.17,17.2,41.8
5.45,12.5,41.8
5.71,16.0,41.8
5.97,17.3,41.8
6.25,22.9,41.8
6.52,17.2,41.6
6.75,14.8,41.6
7.02,20.2,41.6
7.29,15.9,41.7
7.53,13.5,41.7
7.79,12.5,41.7
8.05,14.4,41.7
8.31,14.8,41.7
8.57,13.7,41.6
8.84,13.1,41.6
9.08,16.1,41.6
9.34,13.0,41.6
9.6,13.9,41.6
9.87,13.8,41.6
10.14,12.0,41.6
10.41,19.8,41.8
10.7,14.9,41.8
10.97,12.0,41.8
11.22,17.1,41.8
11.51,19.8,41.7
11.77,13.0,41.7
12.06,16.8,41.8
12.32,21.5,41.8
12.61,14.1,41.7
12.86,12.5,41.7
13.13,14.0,41.7
13.39,14.7,41.7
13.66,13.5,41.7
13.93,14.6,41.7
14.21,13.0,41.7
14.5,14.4,41.7
14.76,12.9,41.7
15.02,12.0,41.7
15.29,13.8,41.7
15.55,13.4,41.7
15.81,13.0,41.7
16.08,12.5,41.7
16.34,16.5,41.7
16.6,13.1,41.7
16.85,13.9,41.7
17.12,13.3,41.7
17.36,34.0,41.8
17.64,15.4,41.8
17.89,17.0,41.9
18.17,26.2,41.9
18.39,15.6,41.9
18.66,12.5,41.8
18.93,14.7,41.8
19.2,13.1,41.8
19.48,28.0,41.8
19.74,13.2,41.6
19.99,19.6,41.6
20.25,17.4,41.7
20.51,16.3,41.7
20.76,13.9,41.7
21.03,12.5,41.7
21.27,16.7,41.8
21.55,17.2,41.9
21.82,16.7,41.9
22.05,14.6,41.9
22.32,17.1,41.9
22.61,13.5,41.8
22.87,15.2,41.8
23.13,25.3,41.9
23.41,15.6,41.9
23.67,21.5,41.9
23.93,13.5,41.9
24.2,12.1,41.9
24.45,13.6,41.7
24.73,12.5,41.7
24.99,21.7,41.9
25.28,17.4,41.9
25.5,16.3,41.8
25.74,14.5,41.8
25.99,12.6,41.8
26.25,14.4,41.8
26.51,22.4,41.8
26.77,15.1,41.9
27.03,12.5,41.9
27.29,14.3,41.9
27.56,22.7,41.9
27.81,14.4,41.9
28.07,28.7,41.9
28.35,16.7,41.9
28.62,13.4,41.8
28.88,15.7,41.8
29.13,12.5,41.8
29.37,12.5,41.8
29.63,14.4,41.8
29.88,21.9,41.9
30.16,12.5,41.9
30.39,18.6,41.9
30.67,13.0,41.9
30.93,14.6,41.9
31.22,25.0,41.9
31.49,16.8,41.8
31.76,13.6,41.8
32.02,12.9,41.8
32.29,16.5,41.8
32.55,15.7,41.8
32.8,14.1,41.8
33.03,12.5,41.8
33.3,14.1,41.8
33.57,18.7,41.8
33.82,14.8,41.8
34.08,31.7,41.8
34.36,28.4,41.9
34.66,54.1,41.9
34.91,23.9,41.9
35.19,12.0,41.9
35.45,15.0,41.7
35.72,18.6,41.7
36.0,14.6,41.7
36.24,19.8,41.7
36.54,17.7,41.7
36.81,12.9,41.7
37.07,13.3,41.7
37.32,12.9,41.7
37.58,16.9,41.7
37.81,13.3,41.7
38.06,12.9,41.7
38.3,14.7,41.7
38.56,15.0,41.7
38.84,12.5,41.7
39.11,12.4,41.7
39.37,14.7,41.7
39.63,16.5,41.7
39.88,24.5,41.7
40.11,13.6,41.7
40.4,32.4,41.9
40.68,27.6,42.0
40.97,12.4,41.7
41.21,12.5,41.7
41.46,13.0,41.8
41.76,12.0,41.8
42.01,12.9,41.8
42.23,12.0,41.8
42.49,13.5,41.8
42.78,11.6,41.8
43.04,12.5,41.8
43.31,12.5,41.8
43.57,16.0,41.7
43.85,20.5,41.7
44.1,13.6,41.7
44.36,22.7,41.7
44.63,15.8,41.8
44.9,12.5,41.8
45.14,13.9,41.8
45.41,12.5,41.8
45.68,13.0,41.8
45.96,12.5,41.8
46.18,12.0,41.8
46.43,13.4,41.8
46.7,13.5,41.7
46.96,12.9,41.7
47.2,12.9,41.7
47.46,12.9,41.7
47.72,11.5,41.7
47.98,12.9,41.7
48.22,12.5,41.7
48.45,15.9,41.7
48.71,13.5,41.7
48.96,12.0,41.7
49.17,13.1,41.7
49.41,14.0,41.7
49.67,15.7,41.7
49.93,12.5,41.7
50.18,12.5,41.7
50.4,13.0,41.7
50.66,15.0,41.7
50.93,12.5,41.7
51.2,12.5,41.7
51.46,15.8,41.7
51.73,13.9,41.7
52.01,16.5,41.7
52.27,17.5,41.7
52.53,15.0,41.7
52.8,12.1,41.8
53.06,11.9,41.8
53.27,12.5,41.8
53.53,13.9,41.8
53.79,12.5,41.8
54.06,12.9,41.8
54.29,12.5,41.8
54.55,12.5,41.8
54.81,12.5,41.8
55.02,12.4,41.8
55.29,12.9,41.8
55.55,13.9,41.8
55.84,13.4,41.8
56.11,12.9,41.8
56.37,12.5,41.8
56.62,14.4,41.7
56.89,12.5,41.7
57.13,13.1,41.7
57.38,13.1,41.7
57.59,25.0,41.7
57.85,25.0,41.7
58.1,25.0,41.7
58.35,24.7,41.7
58.59,13.6,41.7
58.8,12.5,41.7
59.0,12.5,41.7
59.2,12.5,41.7
59.4,12.5,41.7
59.6,25.8,41.7
59.82,15.7,41.7
