Network,Number of agents,Simulation end,Simulation duration in seconds,Number of steps,is parallel,Simulator,message id,creation time,output time,sender,receiver,message,delay,infrastructure change,changed module
EventBasedWinzentTCP,5,500,59.85,57,{False},,,,,,,,,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_0,14,26,client4,client0,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_1,40,52,client4,client0,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_0,38,74,client3,client0,"Dont stop, make it pop",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_2,66,78,client4,client0,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_3,92,104,client4,client0,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_4,118,130,client4,client0,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_0,67,131,client2,client0,"Dont stop, make it pop",64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_1,112,148,client3,client0,"Tonight, Ima fight",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_5,144,156,client4,client0,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_6,170,182,client4,client0,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_7,196,208,client4,client0,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_2,186,222,client3,client0,Tick-tock on the clock,36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_8,222,234,client4,client0,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_9,248,260,client4,client0,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_1,197,261,client2,client0,"Tonight, Ima fight",64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_10,274,286,client4,client0,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_3,260,296,client3,client0,"Oh, whoa, whoa-oh",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_11,300,312,client4,client0,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_12,326,338,client4,client0,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_13,352,364,client4,client0,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_4,334,370,client3,client0,"DJ, blow my speakers up",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_14,378,390,client4,client0,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client2_2,327,391,client2,client0,Tick-tock on the clock,64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_15,404,416,client4,client0,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_16,430,442,client4,client0,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client3_5,408,444,client3,client0,Til we see the sunlight,36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_17,456,468,client4,client0,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client4_18,482,494,client4,client0,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_0,1,13,client0,client1,Tic Toc on the clock!,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_5,27,39,client0,client1,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_7,53,65,client0,client1,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_10,79,91,client0,client1,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_12,105,117,client0,client1,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_14,131,143,client0,client1,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_18,157,169,client0,client1,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_20,183,195,client0,client1,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_22,209,221,client0,client1,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_25,235,247,client0,client1,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_27,261,273,client0,client1,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_30,287,299,client0,client1,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_33,313,325,client0,client1,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_35,339,351,client0,client1,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_37,365,377,client0,client1,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_40,391,403,client0,client1,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_43,417,429,client0,client1,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_45,443,455,client0,client1,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_48,469,481,client0,client1,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_1,1,66,client0,client2,Tic Toc on the clock!,65,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_15,132,196,client0,client2,"DJ, blow my speakers up",64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_28,262,326,client0,client2,Til we see the sunlight,64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_41,392,456,client0,client2,"But the party dont stop, no",64,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_2,1,37,client0,client3,Tic Toc on the clock!,36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_8,75,111,client0,client3,"DJ, blow my speakers up",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_16,149,185,client0,client3,Til we see the sunlight,36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_23,223,259,client0,client3,"But the party dont stop, no",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_31,297,333,client0,client3,"Dont stop, make it pop",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_38,371,407,client0,client3,"Tonight, Ima fight",36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_46,445,481,client0,client3,Tick-tock on the clock,36,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_3,1,13,client0,client4,Tic Toc on the clock!,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_4,27,39,client0,client4,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_6,53,65,client0,client4,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_9,79,91,client0,client4,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_11,105,117,client0,client4,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_13,131,143,client0,client4,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_17,157,169,client0,client4,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_19,183,195,client0,client4,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_21,209,221,client0,client4,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_24,235,247,client0,client4,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_26,261,273,client0,client4,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_29,287,299,client0,client4,"Dont stop, make it pop",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_32,313,325,client0,client4,"Tonight, Ima fight",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_34,339,351,client0,client4,Tick-tock on the clock,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_36,365,377,client0,client4,"Oh, whoa, whoa-oh",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_39,391,403,client0,client4,"DJ, blow my speakers up",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_42,417,429,client0,client4,Til we see the sunlight,12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_44,443,455,client0,client4,"But the party dont stop, no",12,,
,,,,,,CommSim-0.CommSim,AgentMessage_client0_47,469,481,client0,client4,"Dont stop, make it pop",12,,
